class,object,DER_value,voltage_violation_threshold,undervoltage_violation_threshold,overvoltage_violation_threshold,voltage_fluctuation_threshold,violation_detected






































,+0+0i VA,+0 pu,+0 pu,+0 pu,+0 pu,NONE
,+0+0i VA,+0 pu,+0 pu,+0 pu,+0 pu,NONE
,+0+0i VA,+0 pu,+0 pu,+0 pu,+0 pu,NONE
,+0+0i VA,+0 pu,+0 pu,+0 pu,+0 pu,NONE
,+0+0i VA,+0 pu,+0 pu,+0 pu,+0 pu,NONE
,+0+0i VA,+0 pu,+0 pu,+0 pu,+0 pu,NONE
,+0+0i VA,+0 pu,+0 pu,+0 pu,+0 pu,NONE
,+0+0i VA,+0 pu,+0 pu,+0 pu,+0 pu,NONE
,+0+0i VA,+0 pu,+0 pu,+0 pu,+0 pu,NONE
,+0+0i VA,+0 pu,+0 pu,+0 pu,+0 pu,NONE



