objname,propname,timestamp,real,reactive,violation
801,constant_power_A,2020-07-01 00:00:00 PDT,1140000.0,570000.0,POWERLIMIT
801,constant_power_B,2020-07-01 00:00:00 PDT,1140000.0,570000.0,POWERLIMIT
801,constant_power_C,2020-07-01 00:00:00 PDT,1150000.0,575000.0,NONE
801,measured_voltage_A,2020-07-01 00:00:00 PDT,7471.0,2414.6,NONE
801,measured_voltage_B,2020-07-01 00:00:00 PDT,12497.4,2439.0,NONE
801,measured_voltage_C,2020-07-01 00:00:00 PDT,10032.0,-1853.6,NONE
812,constant_power_A,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
812,constant_power_B,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
812,constant_power_C,2020-07-01 00:00:00 PDT,1010000.0,475294.1,NONE
812,measured_voltage_A,2020-07-01 00:00:00 PDT,7398.2,2450.2,NONE
812,measured_voltage_B,2020-07-01 00:00:00 PDT,12523.5,2494.1,NONE
812,measured_voltage_C,2020-07-01 00:00:00 PDT,10079.9,-1942.0,NONE
813,constant_power_A,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
813,constant_power_B,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
813,constant_power_C,2020-07-01 00:00:00 PDT,1010000.0,475294.1,NONE
813,measured_voltage_A,2020-07-01 00:00:00 PDT,7400.2,2454.9,NONE
813,measured_voltage_B,2020-07-01 00:00:00 PDT,12483.8,2466.4,NONE
813,measured_voltage_C,2020-07-01 00:00:00 PDT,10116.9,-1919.9,NONE
814,constant_power_A,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
814,constant_power_B,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
814,constant_power_C,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
814,measured_voltage_A,2020-07-01 00:00:00 PDT,7314.9,2477.8,NONE
814,measured_voltage_B,2020-07-01 00:00:00 PDT,12500.1,2492.0,NONE
814,measured_voltage_C,2020-07-01 00:00:00 PDT,10186.5,-1967.1,NONE
818,constant_power_A,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
818,constant_power_B,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
818,constant_power_C,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
818,measured_voltage_A,2020-07-01 00:00:00 PDT,7267.2,2492.7,NONE
818,measured_voltage_B,2020-07-01 00:00:00 PDT,12534.5,2527.2,NONE
818,measured_voltage_C,2020-07-01 00:00:00 PDT,10200.4,-2016.1,NONE
820,constant_power_A,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
820,constant_power_B,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
820,constant_power_C,2020-07-01 00:00:00 PDT,1010000.0,475294.1,NONE
820,measured_voltage_A,2020-07-01 00:00:00 PDT,7289.8,2510.7,NONE
820,measured_voltage_B,2020-07-01 00:00:00 PDT,12516.3,2516.8,NONE
820,measured_voltage_C,2020-07-01 00:00:00 PDT,10196.2,-2023.6,NONE
822,constant_power_A,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
822,constant_power_B,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
822,constant_power_C,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
822,measured_voltage_A,2020-07-01 00:00:00 PDT,7106.7,2574.3,NONE
822,measured_voltage_B,2020-07-01 00:00:00 PDT,12573.8,2576.0,NONE
822,measured_voltage_C,2020-07-01 00:00:00 PDT,10322.8,-2144.4,NONE
824,constant_power_A,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
824,constant_power_B,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
824,constant_power_C,2020-07-01 00:00:00 PDT,1000000.0,100000.0,POWERLIMIT
824,measured_voltage_A,2020-07-01 00:00:00 PDT,7049.0,2590.3,NONE
